TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,"""+/-"""
MIL,MIL vs. PHI,04/24/2021,W,240,132,49,95,51.6,18,40,45,16,24,66.7,16,39,55,33,10,4,16,28,38
HOU,HOU @ DEN,04/24/2021,L,240,116,41,82,50,15,40,37.5,19,28,67.9,6,29,35,27,10,1,16,16,-13
DEN,DEN vs. HOU,04/24/2021,W,240,129,50,84,59.5,16,37,43.2,13,16,81.3,1,35,36,36,8,8,15,22,13
MEM,MEM @ POR,04/23/2021,W,240,130,52,98,53.1,9,30,30,17,22,77.3,8,31,39,33,7,5,9,21,2
OKC,OKC vs. WAS,04/23/2021,L,240,109,39,93,41.9,10,33,30.3,21,25,84,14,26,40,18,12,7,17,17,-20
WAS,WAS @ OKC,04/23/2021,W,240,129,48,93,51.6,18,32,56.3,15,16,93.8,12,38,50,25,7,7,20,23,20
CHA,CHA vs. CLE,04/23/2021,W,240,108,40,94,42.6,14,40,35,14,18,77.8,15,23,38,26,7,1,5,16,6
BKN,BKN vs. BOS,04/23/2021,W,240,109,37,86,43,11,32,34.4,24,28,85.7,6,41,47,26,12,7,11,19,5
CLE,CLE @ CHA,04/23/2021,L,240,102,41,80,51.3,10,30,33.3,10,14,71.4,11,36,47,27,4,1,17,20,-6
BOS,BOS @ BKN,04/23/2021,L,240,104,38,94,40.4,17,42,40.5,11,16,68.8,15,39,54,21,6,6,19,20,-5
POR,POR vs. MEM,04/23/2021,L,240,128,46,96,47.9,14,35,40,22,27,81.5,14,36,50,28,6,3,12,20,-2
ATL,ATL vs. MIA,04/23/2021,W,240,118,43,80,53.8,15,35,42.9,17,19,89.5,8,30,38,24,12,2,14,17,15
MIA,MIA @ ATL,04/23/2021,L,240,103,38,79,48.1,13,37,35.1,14,16,87.5,6,24,30,24,10,5,13,18,-15
DEN,DEN @ GSW,04/23/2021,L,240,97,34,88,38.6,13,46,28.3,16,20,80,6,30,36,26,9,7,9,14,-21
GSW,GSW vs. DEN,04/23/2021,W,240,118,45,84,53.6,15,39,38.5,13,18,72.2,7,45,52,40,8,4,15,15,21
LAC,LAC @ HOU,04/23/2021,W,240,109,39,97,40.2,12,34,35.3,19,23,82.6,14,44,58,22,8,3,14,19,5
HOU,HOU vs. LAC,04/23/2021,L,240,104,36,89,40.4,13,42,31,19,22,86.4,9,38,47,24,7,5,14,19,-5
LAL,LAL @ DAL,04/22/2021,L,240,110,43,90,47.8,10,30,33.3,14,17,82.4,12,33,45,26,7,5,16,28,-5
PHI,PHI @ MIL,04/22/2021,L,240,117,46,91,50.5,12,27,44.4,13,18,72.2,7,26,33,27,7,3,9,17,-7
MIL,MIL vs. PHI,04/22/2021,W,240,124,45,81,55.6,20,40,50,14,23,60.9,6,39,45,32,6,8,16,16,7
CHA,CHA @ CHI,04/22/2021,L,240,91,35,82,42.7,8,31,25.8,13,17,76.5,7,31,38,30,5,3,14,18,-17
PHX,PHX @ BOS,04/22/2021,L,240,86,36,88,40.9,6,35,17.1,8,9,88.9,10,28,38,18,10,2,17,23,-13
BOS,BOS vs. PHX,04/22/2021,W,240,99,33,77,42.9,12,40,30,21,24,87.5,10,38,48,20,7,2,23,12,13
